Song, album, singer,group, writer, tune, src, genre, subgenre
রাতের কালো, হৃদয়পুরের গীতি, আবদুস শাকুর তুহিন, প্রত্যয় শিল্পী গোষ্ঠী, অজানা, অজানা, https://dl.dropbox.com/s/bvdoj0bztkrgh3o/01.rater%20kalo%20ghor.mp3?dl=0, অনির্দিষ্ট, অনির্দিষ্ট
everything should be, হৃদয়পুরের গীতি, আবদুস শাকুর তুহিন, প্রত্যয় শিল্পী গোষ্ঠী, অজানা, অজানা, https://dl.dropbox.com/s/16273cq9r1be7zp/02.everything%20should.mp3?dl=0, অনির্দিষ্ট, ঈমান
চোখ জুড়িয়ে যায়, হৃদয়পুরের গীতি, আবদুস শাকুর তুহিন, প্রত্যয় শিল্পী গোষ্ঠী, অজানা, অজানা, https://dl.dropbox.com/s/o7q0p8zuehzza5e/03.chokh%20juriye%20jay.mp3?dl=0, দেশাত্মবোধক, অনির্দিষ্ট
ইয়া রাসুলুল্লাহ (সা), হৃদয়পুরের গীতি, আবদুস শাকুর তুহিন, প্রত্যয় শিল্পী গোষ্ঠী, অজানা, অজানা, https://dl.dropbox.com/s/mt4uy0ptyb1x5tv/04.ya%20rasulallah.mp3?dl=0, নাতে রাসুল, অনির্দিষ্ট
সময় সময়, হৃদয়পুরের গীতি, আবদুস শাকুর তুহিন, প্রত্যয় শিল্পী গোষ্ঠী, অজানা, অজানা, https://dl.dropbox.com/s/a29b182jzkrozlo/05.somoy%20somoy.mp3?dl=0, অনির্দিষ্ট, অনির্দিষ্ট
মনের মাঝে প্রভূ, হৃদয়পুরের গীতি, আবদুস শাকুর তুহিন, প্রত্যয় শিল্পী গোষ্ঠী, অজানা, অজানা, https://dl.dropbox.com/s/4wgp1btdt9pi2b6/06.moner%20majhe%20provu%20prem.mp3?dl=0, হামদ, অনির্দিষ্ট
Man is crying, হৃদয়পুরের গীতি, আবদুস শাকুর তুহিন, প্রত্যয় শিল্পী গোষ্ঠী, অজানা, অজানা, https://dl.dropbox.com/s/vhzf1hjjw03hvar/07Man%20is%20crying.mp3?dl=0, আদর্শ, অনির্দিষ্ট
মাটির কলসে, হৃদয়পুরের গীতি, আবদুস শাকুর তুহিন, প্রত্যয় শিল্পী গোষ্ঠী, অজানা, অজানা, https://dl.dropbox.com/s/qvyctyhmt3ujtac/08matir%20kolose.mp3?dl=0, অনির্দিষ্ট, তাওবা
সুতো কাটা ঘুড়ি, হৃদয়পুরের গীতি, আবদুস শাকুর তুহিন, প্রত্যয় শিল্পী গোষ্ঠী, অজানা, অজানা, https://dl.dropbox.com/s/hyghvxf63xwokgd/09.suto%20kata%20ghuri.mp3?dl=0, আদর্শ, অনির্দিষ্ট
মাটির বাসন মাটির আসন, হৃদয়পুরের গীতি, আবদুস শাকুর তুহিন, প্রত্যয় শিল্পী গোষ্ঠী, অজানা, অজানা, https://dl.dropbox.com/s/bchgc3fpipco9zo/10.matir%20bason%20matir%20ason.mp3?dl=0, অনির্দিষ্ট, তাওবা
কতটা রাত কেটেছে, হৃদয়পুরের গীতি, আবদুস শাকুর তুহিন, প্রত্যয় শিল্পী গোষ্ঠী, অজানা, অজানা, https://dl.dropbox.com/s/w9vl3xucmect81n/11.kotota%20rat%20ketechhe.mp3?dl=0, অনির্দিষ্ট, অনির্দিষ্ট
বুকের ভেতর কান্না, হৃদয়পুরের গীতি, আবদুস শাকুর তুহিন, প্রত্যয় শিল্পী গোষ্ঠী, অজানা, অজানা, https://dl.dropbox.com/s/t4je1g8zpryfces/12.buker%20vetor%20kanna.mp3?dl=0, অনির্দিষ্ট, অনির্দিষ্ট
তোমারই জন্য মন কাঁদে,তোমারই জন্য মন কাঁদে,তারিক মুনাওয়ার,NA,NA,NA,https://www.dropbox.com/scl/fi/ccg2ccojkeyuhllvt33bw/01-tomari-jonyo-mon-kande.mp3?rlkey=zcgvkysuwvy24jpds7sworvhq&dl=1,অনির্দিষ্ট,অনির্দিষ্ট
আঁখির আড়াল হলে,তোমারই জন্য মন কাঁদে,তারিক মুনাওয়ার,NA,NA,NA,https://www.dropbox.com/scl/fi/o5s9kuay10jzrsl4iyy0q/02-ankhir-aral-hole.mp3?rlkey=aietajtbp9ng0536cqykw7lni&dl=1,অনির্দিষ্ট,অনির্দিষ্ট
ও রাহীম ও রহমান,তোমারই জন্য মন কাঁদে,তারিক মুনাওয়ার,NA,NA,NA,https://www.dropbox.com/scl/fi/29759crohzam0r25n1fhn/03-o-rahim-o-rahman.mp3?rlkey=51uwxj389o3y4rg29bhej2dbz&dl=1,অনির্দিষ্ট,অনির্দিষ্ট
আজও সেই কুরআন আছে,তোমারই জন্য মন কাঁদে,তারিক মুনাওয়ার,NA,NA,NA,https://www.dropbox.com/scl/fi/6fztzniq82cpc14ugkux3/4-ajo-sei-quran.mp3?rlkey=4xinhzx1gc9hf7fcsfrd80ng3&dl=1,অনির্দিষ্ট,অনির্দিষ্ট
ও নদী তুমি বইছো কেন?,তোমারই জন্য মন কাঁদে,তারিক মুনাওয়ার,NA,NA,NA,https://www.dropbox.com/scl/fi/zu9ty4gisr65k1urxlcrs/05-o-nodi-tumi.mp3?rlkey=elkttzeeie0mpggpt25trq4b8&dl=1,অনির্দিষ্ট,অনির্দিষ্ট
হায়রে জীবন,তোমারই জন্য মন কাঁদে,তারিক মুনাওয়ার,NA,NA,NA,https://www.dropbox.com/scl/fi/7bbo9rnvjf3izeel2ld39/06-hayre-jibon.mp3?rlkey=c3avij00ag2dxw91q1dbjwz1r&dl=1,অনির্দিষ্ট,অনির্দিষ্ট
আকাশরে তুই আলো,তোমারই জন্য মন কাঁদে,তারিক মুনাওয়ার,NA,NA,NA,https://www.dropbox.com/scl/fi/90a7q7b6o8zwhzml6j8da/07-akashre-tui-alo.mp3?rlkey=ijpx4z5rd61pert86zgezhbnw&dl=1,অনির্দিষ্ট,অনির্দিষ্ট
যত জ্বালা বিরহের,তোমারই জন্য মন কাঁদে,তারিক মুনাওয়ার,NA,NA,NA,https://www.dropbox.com/scl/fi/dnas1w3dunpvg68mtels7/08-zoto-jwala-biroher.mp3?rlkey=qqpyvfaoq0cclxsr7xqyc7s6m&dl=1,অনির্দিষ্ট,অনির্দিষ্ট
সবারই জীবনে সুখ,তোমারই জন্য মন কাঁদে,তারিক মুনাওয়ার,NA,NA,NA,https://www.dropbox.com/scl/fi/3p6bzrg5xxt9m9qer4jui/09-sobari-jibone-sukh.mp3?rlkey=tq1h9fxocxhz9vki3p6glssx5&dl=1,অনির্দিষ্ট,অনির্দিষ্ট
ঝর্ণা ঝর্ণা ঝর্ণারে,তোমারই জন্য মন কাঁদে,তারিক মুনাওয়ার,NA,NA,NA,https://www.dropbox.com/scl/fi/peytt6vhlsgf3spyp8hse/10-jhorna-jhorna.MP3?rlkey=axn4a547uei1w3rr3dtx1mmy9&dl=1,অনির্দিষ্ট,অনির্দিষ্ট
